target_id,pref_name,organism,target_type_id,n_compounds
CHEMBL2074,Maltase-glucoamylase,Homo sapiens,SINGLE PROTEIN,103
CHEMBL2075,Cyclophilin B,Homo sapiens,SINGLE PROTEIN,20
CHEMBL2079845,GTPase NRas,Homo sapiens,SINGLE PROTEIN,1
CHEMBL2079846,Son of sevenless homolog 1,Homo sapiens,SINGLE PROTEIN,1
CHEMBL2079847,Beta-lactamase II,Bacillus anthracis,SINGLE PROTEIN,3
CHEMBL2079848,Activated CDC42 kinase 1,Mus musculus,SINGLE PROTEIN,40
CHEMBL2079849,Serine protease hepsin,Homo sapiens,SINGLE PROTEIN,1
CHEMBL2079850,Protein prune homolog,Homo sapiens,SINGLE PROTEIN,2
CHEMBL2079851,Snake venom metalloproteinase Bap1,Bothrops asper,SINGLE PROTEIN,11
CHEMBL2079852,Protein-glutamine gamma-glutamyltransferase 6,Homo sapiens,SINGLE PROTEIN,6
CHEMBL2079853,Protein-glutamine gamma-glutamyltransferase 2,Mus musculus,SINGLE PROTEIN,3
CHEMBL208,Progesterone receptor,Homo sapiens,SINGLE PROTEIN,1731
CHEMBL2081,Glutathione S-transferase Mu 1,Homo sapiens,SINGLE PROTEIN,12
CHEMBL2083,Fatty acid binding protein adipocyte,Homo sapiens,SINGLE PROTEIN,144
CHEMBL2085,Macrophage migration inhibitory factor,Homo sapiens,SINGLE PROTEIN,172
CHEMBL2086,Voltage-gated potassium channel subunit Kv1.2,Homo sapiens,SINGLE PROTEIN,6
CHEMBL2088,Carboxypeptidase A1,Homo sapiens,SINGLE PROTEIN,64
CHEMBL209,Trypsin I,Homo sapiens,SINGLE PROTEIN,1302
CHEMBL2093,G2/mitotic-specific cyclin B1,Rattus norvegicus,SINGLE PROTEIN,5
CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta,Homo sapiens,PROTEIN-PROTEIN INTERACTION,93
CHEMBL2093863,Phosphodiesterase 4,Homo sapiens,PROTEIN FAMILY,1156
CHEMBL2093864,Adrenergic receptor alpha-2,Rattus norvegicus,PROTEIN FAMILY,1494
CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,463
CHEMBL2093866,Estrogen receptor,Homo sapiens,PROTEIN FAMILY,417
CHEMBL2093867,Protein kinase C (PKC),Homo sapiens,PROTEIN FAMILY,309
CHEMBL2093868,Dopamine receptor,Rattus norvegicus,PROTEIN FAMILY,454
CHEMBL2093869,Integrin alpha-IIb/beta-3,Homo sapiens,PROTEIN COMPLEX,1891
CHEMBL2093870,Serotonin 2 (5-HT2) receptor,Rattus norvegicus,PROTEIN FAMILY,1425
CHEMBL2093871,"Glutamate receptor ionotropic, AMPA",Rattus norvegicus,PROTEIN COMPLEX GROUP,1016
CHEMBL2093872,GABA-A receptor; anion channel,Homo sapiens,PROTEIN COMPLEX GROUP,361
CHEMBL2094,P2X purinoceptor 1,Homo sapiens,SINGLE PROTEIN,26
CHEMBL2094107,GABA-A receptor; anion channel,Bos taurus,PROTEIN COMPLEX GROUP,284
CHEMBL2094108,Protein farnesyltransferase,Homo sapiens,PROTEIN COMPLEX,1639
CHEMBL2094109,Muscarinic acetylcholine receptor,Homo sapiens,PROTEIN FAMILY,316
CHEMBL2094110,Neuronal acetylcholine receptor,Rattus norvegicus,PROTEIN COMPLEX GROUP,337
CHEMBL2094111,Adrenergic receptor alpha,Rattus norvegicus,PROTEIN FAMILY,90
CHEMBL2094112,Angiotensin II receptor,Rattus norvegicus,PROTEIN FAMILY,570
CHEMBL2094113,Estrogen receptor,Mus musculus,PROTEIN FAMILY,3
CHEMBL2094114,Estrogen receptor,Rattus norvegicus,PROTEIN FAMILY,32
CHEMBL2094115,MAP kinase p38,Homo sapiens,PROTEIN FAMILY,516
CHEMBL2094116,Serotonin 3 (5-HT3) receptor,Rattus norvegicus,PROTEIN COMPLEX,834
CHEMBL2094117,Adenosine A2 receptor,Rattus norvegicus,PROTEIN FAMILY,1069
CHEMBL2094118,Adrenergic receptor beta,Homo sapiens,PROTEIN FAMILY,245
CHEMBL2094119,"Glutamate receptor ionotropic, kainate",Rattus norvegicus,PROTEIN COMPLEX GROUP,392
CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,670
CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,638
CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,664
CHEMBL2094123,Serotonin (5-HT) receptor,Rattus norvegicus,PROTEIN FAMILY,85
CHEMBL2094124,Glutamate [NMDA] receptor,Homo sapiens,PROTEIN COMPLEX GROUP,429
CHEMBL2094125,Phosphodiesterase 3,Homo sapiens,PROTEIN FAMILY,865
CHEMBL2094126,Cyclin-dependent kinase 2/cyclin E,Homo sapiens,PROTEIN COMPLEX,789
CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,Homo sapiens,PROTEIN COMPLEX,579
CHEMBL2094128,Cyclin-dependent kinase 2/cyclin A,Homo sapiens,PROTEIN COMPLEX,1189
CHEMBL2094129,Opioid receptor,Rattus norvegicus,PROTEIN FAMILY,364
CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,553
CHEMBL2094131,Adenosine receptors; A1 & A2,Rattus norvegicus,SELECTIVITY GROUP,2
CHEMBL2094132,Serotonin 3 (5-HT3) receptor,Homo sapiens,PROTEIN COMPLEX,274
CHEMBL2094133,GABA-A receptor; anion channel,Mus musculus,PROTEIN COMPLEX GROUP,42
CHEMBL2094134,Tubulin,Bos taurus,PROTEIN FAMILY,404
CHEMBL2094135,Gamma-secretase,Homo sapiens,PROTEIN COMPLEX,302
CHEMBL2094138,cAMP-dependent protein kinase (PKA),Homo sapiens,PROTEIN FAMILY,425
CHEMBL2094139,DNA gyrase,Escherichia coli K-12,PROTEIN COMPLEX,29
CHEMBL2094250,Angiotensin II receptor (AT-1) type-1,Rattus norvegicus,PROTEIN FAMILY,948
CHEMBL2094251,Adrenergic receptor alpha-1,Homo sapiens,PROTEIN FAMILY,456
CHEMBL2094253,Cyclooxygenase,Homo sapiens,PROTEIN FAMILY,113
CHEMBL2094254,Cysteinyl leukotriene receptor,Homo sapiens,PROTEIN FAMILY,513
CHEMBL2094255,DNA topoisomerase II,Homo sapiens,PROTEIN FAMILY,216
CHEMBL2094256,Angiotensin II receptor,Homo sapiens,PROTEIN FAMILY,748
CHEMBL2094257,Adenosine A2 receptor,Homo sapiens,PROTEIN FAMILY,292
CHEMBL2094258,Nuclear factor NF-kappa-B complex,Homo sapiens,PROTEIN COMPLEX GROUP,994
CHEMBL2094266,Protein kinase C (PKC),Rattus norvegicus,PROTEIN FAMILY,191
CHEMBL2094267,Phosphodiesterase 4,Rattus norvegicus,PROTEIN FAMILY,263
CHEMBL2094268,Melatonin receptor,Homo sapiens,PROTEIN FAMILY,165
CHEMBL2095,FK506-binding protein 1A,Rattus norvegicus,SINGLE PROTEIN,17
CHEMBL2095149,Opioid receptors; mu & delta,Homo sapiens,SELECTIVITY GROUP,491
CHEMBL2095150,Phosphodiesterase 1,Homo sapiens,PROTEIN FAMILY,336
CHEMBL2095151,Opioid receptors; delta & kappa,Homo sapiens,SELECTIVITY GROUP,16
CHEMBL2095152,Sulfonylurea receptors; K-ATP channels,Homo sapiens,PROTEIN COMPLEX GROUP,271
CHEMBL2095153,Phosphodiesterase; PDE3 & PDE4,Homo sapiens,SELECTIVITY GROUP,31
CHEMBL2095154,Melatonin receptor,Gallus gallus,PROTEIN FAMILY,292
CHEMBL2095156,Opioid receptors; mu & kappa,Homo sapiens,SELECTIVITY GROUP,15
CHEMBL2095157,Cyclooxygenase,Rattus norvegicus,PROTEIN FAMILY,370
CHEMBL2095158,Adrenergic receptor alpha-2,Homo sapiens,PROTEIN FAMILY,175
CHEMBL2095159,Serotonin 1 (5-HT1) receptor,Rattus norvegicus,PROTEIN FAMILY,332
CHEMBL2095160,Leukotriene B4 receptor,Homo sapiens,PROTEIN FAMILY,293
CHEMBL2095161,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 3,Homo sapiens,PROTEIN-PROTEIN INTERACTION,748
CHEMBL2095162,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1,Homo sapiens,PROTEIN-PROTEIN INTERACTION,743
CHEMBL2095163,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2,Homo sapiens,PROTEIN-PROTEIN INTERACTION,743
CHEMBL2095164,Geranylgeranyl transferase type I,Homo sapiens,PROTEIN COMPLEX,470
CHEMBL2095165,Heat shock protein HSP90,Homo sapiens,PROTEIN FAMILY,458
CHEMBL2095166,Adrenergic receptor beta,Rattus norvegicus,PROTEIN FAMILY,184
CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,Rattus norvegicus,PROTEIN COMPLEX,67
CHEMBL2095171,"Sodium channel alpha subunits; brain (Types I, II, III)",Rattus norvegicus,PROTEIN FAMILY,145
CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,PROTEIN COMPLEX,97
CHEMBL2095173,Potassium-transporting ATPase,Homo sapiens,PROTEIN COMPLEX,258
CHEMBL2095174,SUMO-activating enzyme,Homo sapiens,PROTEIN COMPLEX,334
CHEMBL2095177,Voltage-gated L-type calcium channel,Rattus norvegicus,PROTEIN FAMILY,256
CHEMBL2095178,Protein farnesyltransferase,Bos taurus,PROTEIN COMPLEX,446
CHEMBL2095179,Adenylate cyclase,Rattus norvegicus,PROTEIN FAMILY,23
CHEMBL2095180,Carbonic anhydrase,Homo sapiens,PROTEIN FAMILY,37
CHEMBL2095181,Opioid receptors; mu/kappa/delta,Homo sapiens,PROTEIN FAMILY,122
CHEMBL2095182,Tubulin,Homo sapiens,PROTEIN COMPLEX GROUP,323
CHEMBL2095184,Integrin alpha-4/beta-7,Homo sapiens,PROTEIN COMPLEX,386
CHEMBL2095185,Cholecystokinin receptor,Homo sapiens,PROTEIN FAMILY,208
CHEMBL2095186,Sodium/potassium-transporting ATPase,Homo sapiens,PROTEIN COMPLEX GROUP,216
CHEMBL2095187,Muscarinic acetylcholine receptors; M2 & M3,Homo sapiens,SELECTIVITY GROUP,8
CHEMBL2095188,Glycogen synthase kinase-3,Homo sapiens,PROTEIN FAMILY,359
CHEMBL2095189,Platelet-derived growth factor receptor,Homo sapiens,PROTEIN COMPLEX,373
CHEMBL2095190,GABA-A receptor; alpha-6/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,196
CHEMBL2095191,Casein kinase II,Homo sapiens,PROTEIN COMPLEX GROUP,139
CHEMBL2095192,Opioid receptor,Mus musculus,PROTEIN FAMILY,50
CHEMBL2095193,Tryptase,Homo sapiens,PROTEIN FAMILY,249
CHEMBL2095194,Coagulation factor VII/tissue factor,Homo sapiens,PROTEIN COMPLEX,266
CHEMBL2095196,Monoamine oxidase,Rattus norvegicus,PROTEIN FAMILY,71
CHEMBL2095197,Protein farnesyltransferase,Rattus norvegicus,PROTEIN COMPLEX,277
CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",Homo sapiens,PROTEIN COMPLEX,119
CHEMBL2095199,Potassium-transporting ATPase,Rattus norvegicus,PROTEIN COMPLEX,21
CHEMBL2095200,Serotonin 2 (5-HT2) receptor,Homo sapiens,PROTEIN FAMILY,181
CHEMBL2095202,"Troponin, cardiac muscle",Homo sapiens,PROTEIN COMPLEX,276
CHEMBL2095203,Adrenergic receptor alpha,Homo sapiens,PROTEIN FAMILY,26
CHEMBL2095204,Trypsin,Homo sapiens,PROTEIN FAMILY,600
CHEMBL2095205,Monoamine oxidase,Homo sapiens,PROTEIN FAMILY,87
CHEMBL2095215,Ribonucleoside-diphosphate reductase RR1,Homo sapiens,PROTEIN COMPLEX,73
CHEMBL2095216,Collagenase,Homo sapiens,PROTEIN FAMILY,139
CHEMBL2095217,Fibroblast growth factor receptor,Homo sapiens,PROTEIN FAMILY,133
CHEMBL2095219,Muscarinic acetylcholine receptors; M1 & M2,Homo sapiens,SELECTIVITY GROUP,2
CHEMBL2095221,Vasopressin V1 receptor,Rattus norvegicus,PROTEIN FAMILY,276
CHEMBL2095226,Integrin alpha-5/beta-1,Homo sapiens,PROTEIN COMPLEX,237
CHEMBL2095227,Vascular endothelial growth factor receptor,Homo sapiens,PROTEIN FAMILY,214
CHEMBL2095228,Potassium-transporting ATPase,Sus scrofa,PROTEIN COMPLEX,321
CHEMBL2095229,Voltage-gated L-type calcium channel,Homo sapiens,PROTEIN FAMILY,82
CHEMBL2095230,Serotonin 1 receptors; 5-HT1B & 5-HT1D,Homo sapiens,SELECTIVITY GROUP,2
CHEMBL2095231,"Hepatitis C virus serine protease, NS3/NS4A",Hepatitis C virus,PROTEIN COMPLEX,229
CHEMBL2095232,Exodeoxyribonuclease V,Escherichia coli (strain K12),PROTEIN COMPLEX,30
CHEMBL2095234,Adenosine receptors; A2b & A3,Homo sapiens,SELECTIVITY GROUP,1
CHEMBL2095396,Dopamine receptors; D2 & D4,Homo sapiens,SELECTIVITY GROUP,16
CHEMBL2095942,Cyclin-dependent kinase 4/cyclin D,Homo sapiens,PROTEIN COMPLEX,155
CHEMBL2095943,Histone deacetylase,Rattus norvegicus,PROTEIN FAMILY,56
CHEMBL2096,MHC class II,Rattus norvegicus,SINGLE PROTEIN,34
CHEMBL2096617,"Glutamate receptor ionotropic, AMPA",Mus musculus,PROTEIN COMPLEX GROUP,41
CHEMBL2096618,Bcr/Abl fusion protein,Homo sapiens,CHIMERIC PROTEIN,223
CHEMBL2096619,"Phosphatidylinositol 4-kinase, PI4K",Homo sapiens,PROTEIN FAMILY,44
CHEMBL2096620,"Protein kinase C, PKC; classical/novel",Homo sapiens,PROTEIN FAMILY,8
CHEMBL2096622,Vasopressin receptor,Rattus norvegicus,PROTEIN FAMILY,114
CHEMBL2096661,"Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2",Homo sapiens,PROTEIN COMPLEX,460
CHEMBL2096663,Pyruvate dehydrogenase kinase,Rattus norvegicus,PROTEIN FAMILY,61
CHEMBL2096664,Steroid 5-alpha-reductase,Rattus norvegicus,PROTEIN FAMILY,245
CHEMBL2096665,Pyruvate dehydrogenase kinase,Homo sapiens,PROTEIN FAMILY,109
CHEMBL2096666,Glutamate NMDA receptor; Grin1/Grin2b,Rattus norvegicus,PROTEIN COMPLEX,249
CHEMBL2096667,"c-Jun N-terminal kinase, JNK",Homo sapiens,PROTEIN FAMILY,148
CHEMBL2096668,Alcohol dehydrogenase,Homo sapiens,PROTEIN FAMILY,1
CHEMBL2096669,Glutamate receptors; NMDA/AMPA,Rattus norvegicus,PROTEIN COMPLEX GROUP,67
CHEMBL2096670,Glutamate receptor ionotropic AMPA,Homo sapiens,PROTEIN COMPLEX GROUP,99
CHEMBL2096671,Serotonin 2 (5-HT2) receptor,Mus musculus,PROTEIN FAMILY,166
CHEMBL2096673,Small conductance calcium-activated potassium channel,Rattus norvegicus,PROTEIN FAMILY,103
CHEMBL2096674,Cyclooxygenase,Bos taurus,PROTEIN FAMILY,104
CHEMBL2096675,Integrin alpha-V/beta-5,Homo sapiens,PROTEIN COMPLEX,275
CHEMBL2096677,Phosphoglycerate kinase,Homo sapiens,PROTEIN FAMILY,42
CHEMBL2096678,"Endothelin receptor, ET-A/ET-B",Homo sapiens,PROTEIN FAMILY,7
CHEMBL2096680,Glutamate NMDA receptor; Grin1/Grin2a,Rattus norvegicus,PROTEIN COMPLEX,223
CHEMBL2096682,"Sodium channel alpha subunits; brain (Types I, II, III)",Homo sapiens,PROTEIN FAMILY,146
CHEMBL2096684,Vanilloid receptor,Rattus norvegicus,PROTEIN FAMILY,210
CHEMBL2096904,Serotonin (5-HT3) receptor,Homo sapiens,PROTEIN COMPLEX GROUP,5
CHEMBL2096905,Dopamine receptor,Homo sapiens,PROTEIN FAMILY,54
CHEMBL2096907,"AMP-activated protein kinase, AMPK",Homo sapiens,PROTEIN COMPLEX GROUP,63
CHEMBL2096909,"Interleukin-8 receptors, CXCR1/CXCR2",Homo sapiens,PROTEIN FAMILY,70
CHEMBL2096910,Dopamine receptors; D1 & D2,Rattus norvegicus,SELECTIVITY GROUP,5
CHEMBL2096911,Glutamate NMDA receptor; Grin1/Grin2c,Rattus norvegicus,PROTEIN COMPLEX,218
CHEMBL2096912,Protein farnesyltransferase,Mus musculus,PROTEIN COMPLEX,132
CHEMBL2096970,Dopamine receptor,Bos taurus,PROTEIN FAMILY,63
CHEMBL2096971,Carbonic anhydrase,Bos taurus,PROTEIN FAMILY,19
CHEMBL2096972,"Sulfonylurea receptor 1, Kir6.2",Homo sapiens,PROTEIN COMPLEX,39
CHEMBL2096973,Peptide N-myristoyltransferase,Homo sapiens,PROTEIN FAMILY,95
CHEMBL2096975,Acetylcholine receptor,Torpedo californica,PROTEIN COMPLEX,42
CHEMBL2096976,Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2,Homo sapiens,PROTEIN-PROTEIN INTERACTION,239
CHEMBL2096977,Somatostatin receptor,Rattus norvegicus,PROTEIN FAMILY,124
CHEMBL2096978,Thioredoxin reductase,Homo sapiens,PROTEIN FAMILY,51
CHEMBL2096979,Phosphodiesterase 6,Bos taurus,PROTEIN FAMILY,65
CHEMBL2096980,Platelet-derived growth factor receptor,Mus musculus,PROTEIN COMPLEX,201
CHEMBL2096981,Cannabinoid receptor,Homo sapiens,PROTEIN FAMILY,23
CHEMBL2096983,"Sterol O-acyltransferase, Soat",Rattus norvegicus,PROTEIN FAMILY,104
CHEMBL2096984,Pancreatic elastase,Sus scrofa,PROTEIN FAMILY,39
CHEMBL2096985,Sodium/hydrogen exchanger,Oryctolagus cuniculus,PROTEIN FAMILY,149
CHEMBL2096986,Cholecystokinin receptor,Rattus norvegicus,PROTEIN FAMILY,121
CHEMBL2096987,Geranylgeranyl transferase type I,Bos taurus,PROTEIN COMPLEX,173
CHEMBL2096989,Angiotensin-converting enzyme,Homo sapiens,PROTEIN FAMILY,109
CHEMBL2096990,Monoamine transporters; Norepinephrine & dopamine,Homo sapiens,SELECTIVITY GROUP,5
CHEMBL2096991,Protein farnesyl/geranylgeranyl transferase,Homo sapiens,PROTEIN COMPLEX GROUP,11
CHEMBL2097,Phospholipase A2 group IIC,Homo sapiens,SINGLE PROTEIN,13
CHEMBL2097161,"Phosphodiesterase, PDE1/PDE5",Homo sapiens,PROTEIN FAMILY,44
CHEMBL2097162,Muscarinic acetylcholine receptor,Mus musculus,PROTEIN FAMILY,13
CHEMBL2097163,Phosphodiesterase 6,Homo sapiens,PROTEIN FAMILY,35
CHEMBL2097164,CaM kinase II,Homo sapiens,PROTEIN FAMILY,93
CHEMBL2097166,Phosphodiesterase 1,Bos taurus,PROTEIN FAMILY,134
CHEMBL2097167,Adenylate cyclase,Homo sapiens,PROTEIN FAMILY,33
CHEMBL2097168,"Protein kinase C, PKC; classical",Rattus norvegicus,PROTEIN FAMILY,40
CHEMBL2097169,Adrenergic receptor beta; ADRB1 & ADRB3,Homo sapiens,SELECTIVITY GROUP,3
CHEMBL2097170,Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,Homo sapiens,PROTEIN-PROTEIN INTERACTION,450
CHEMBL2099,Prostate specific antigen,Homo sapiens,SINGLE PROTEIN,53
CHEMBL210,Beta-2 adrenergic receptor,Homo sapiens,SINGLE PROTEIN,1577
CHEMBL2104,P2X purinoceptor 4,Homo sapiens,SINGLE PROTEIN,68
CHEMBL2105,Polyamine oxidase,Homo sapiens,SINGLE PROTEIN,13
CHEMBL2107,C-X-C chemokine receptor type 4,Homo sapiens,SINGLE PROTEIN,376
CHEMBL2107836,"Amiloride-sensitive sodium channel, ENaC",Homo sapiens,PROTEIN COMPLEX,2
CHEMBL2107838,"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",Homo sapiens,PROTEIN COMPLEX,50
CHEMBL2108,Cyclin T1,Homo sapiens,SINGLE PROTEIN,1
CHEMBL2109,Dual specificity mitogen-activated protein kinase kinase 3,Homo sapiens,SINGLE PROTEIN,86
CHEMBL2109230,Neuronal acetylcholine receptor; alpha2/beta4,Homo sapiens,PROTEIN COMPLEX,13
CHEMBL2109232,Adrenomedullin receptor AM1; CALCRL/RAMP2,Homo sapiens,PROTEIN COMPLEX,1
CHEMBL2109233,Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3,Homo sapiens,PROTEIN COMPLEX,10
CHEMBL2109234,Neuronal acetylcholine receptor; alpha3/beta2,Homo sapiens,PROTEIN COMPLEX,49
CHEMBL2109236,Neuronal acetylcholine recetpor; alpha2/beta2,Homo sapiens,PROTEIN COMPLEX,6
CHEMBL2109238,Neuronal acetylcholine recetpor; alpha9/alpha10,Homo sapiens,PROTEIN COMPLEX,9
CHEMBL2109241,Glutamate receptor ionotropic kainate,Homo sapiens,PROTEIN COMPLEX GROUP,42
CHEMBL2109242,GABA-C receptor,Homo sapiens,PROTEIN COMPLEX GROUP,14
CHEMBL211,Muscarinic acetylcholine receptor M2,Homo sapiens,SINGLE PROTEIN,1953
CHEMBL2110,Cytidine deaminase,Mus musculus,SINGLE PROTEIN,22
CHEMBL2111189,"Amylin receptor AMY1, CALCR/RAMP1",Homo sapiens,PROTEIN COMPLEX,1
CHEMBL2111190,Amylin receptor AMY3; CALCR/RAMP3,Homo sapiens,PROTEIN COMPLEX,1
CHEMBL2111191,"Adrenomedullin receptor, AM2; CALCRL/RAMP3",Homo sapiens,PROTEIN COMPLEX,1
CHEMBL2111288,Cyclin-dependent kinase 7/ cyclin H,Homo sapiens,PROTEIN COMPLEX,134
CHEMBL2111289,Dual specificity mitogen-activated protein kinase kinase; MEK1/2,Homo sapiens,PROTEIN FAMILY,64
CHEMBL2111322,Phosphodiesterase 1,Rattus norvegicus,PROTEIN FAMILY,73
CHEMBL2111324,Phosphorylase kinase,Homo sapiens,PROTEIN COMPLEX GROUP,4
CHEMBL2111325,PPAR alpha/gamma,Homo sapiens,SELECTIVITY GROUP,1
CHEMBL2111327,GABA A receptor alpha-2/beta-2/gamma-2,Rattus norvegicus,PROTEIN COMPLEX,22
CHEMBL2111328,Inhibitor of NF-kappa-B kinase (IKK),Homo sapiens,PROTEIN COMPLEX,19
CHEMBL2111329,Adenosine receptor,Homo sapiens,PROTEIN FAMILY,2
CHEMBL2111330,Ribosomal protein S6 kinase (P70S6K),Homo sapiens,PROTEIN COMPLEX,21
CHEMBL2111331,KinA/Spo0F (sporulation kinase A/sporulation initiation phosphotransferase F),Bacillus subtilis (strain 168),PROTEIN FAMILY,42
CHEMBL2111332,Serotonin 3 receptor (5HT3),Homo sapiens,PROTEIN COMPLEX,63
CHEMBL2111333,Serotonin 3 receptor (5HT3),Mus musculus,PROTEIN FAMILY,31
CHEMBL2111334,Cholecystokinin receptor,Mus musculus,PROTEIN FAMILY,16
CHEMBL2111335,Metabotropic glutamate receptor,Rattus norvegicus,PROTEIN FAMILY,7
CHEMBL2111337,Atrial natriuretic peptide receptor,Homo sapiens,PROTEIN FAMILY,11
CHEMBL2111338,Alpha-2 adrenergic receptor,Mus musculus,PROTEIN FAMILY,13
CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,Homo sapiens,PROTEIN COMPLEX,24
CHEMBL2111342,Dopamine receptor D2 and D3,Rattus norvegicus,SELECTIVITY GROUP,22
CHEMBL2111343,GABA A receptor alpha-3/beta-2/gamma-2,Rattus norvegicus,PROTEIN COMPLEX,20
CHEMBL2111344,Platelet-derived growth factor receptor (PDGFr),Rattus norvegicus,PROTEIN FAMILY,54
CHEMBL2111345,AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1,Homo sapiens,PROTEIN COMPLEX,7
CHEMBL2111346,Serotonin and norepinephrine transporters (SERT/NET),Homo sapiens,SELECTIVITY GROUP,5
CHEMBL2111348,Soluble guanylate cyclase,Homo sapiens,PROTEIN COMPLEX GROUP,2
CHEMBL2111349,Prostaglandin G/H synthase (cyclooxygenase),Mus musculus,PROTEIN FAMILY,17
CHEMBL2111351,Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK),Homo sapiens,PROTEIN FAMILY,38
CHEMBL2111353,Serine/threonine-protein kinase AKT,Homo sapiens,PROTEIN FAMILY,34
CHEMBL2111354,Tubulin,Sus scrofa,PROTEIN FAMILY,60
CHEMBL2111357,Calpain 1,Homo sapiens,PROTEIN COMPLEX,87
CHEMBL2111358,Prostaglandin G/H synthase (cyclooxygenase),Ovis aries,PROTEIN FAMILY,31
CHEMBL2111359,Dopamine receptor,Mus musculus,PROTEIN FAMILY,1
CHEMBL2111360,Corticotropin releasing factor receptor,Rattus norvegicus,PROTEIN FAMILY,113
CHEMBL2111362,Integrin alpha-M/beta-2,Homo sapiens,PROTEIN COMPLEX,13
CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,49
CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,Rattus norvegicus,PROTEIN COMPLEX,18
CHEMBL2111366,GABA A receptor alpha-4/beta-3/gamma-2,Homo sapiens,PROTEIN COMPLEX,35
CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,Homo sapiens,PROTEIN COMPLEX,124
CHEMBL2111369,Inosine-5'-monophosphate dehydrogenase (IMPDH),Homo sapiens,PROTEIN FAMILY,38
CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,Homo sapiens,PROTEIN COMPLEX,17
CHEMBL2111372,Alcohol dehydrogenase,Equus caballus,PROTEIN FAMILY,45
CHEMBL2111373,Phosphodiesterase 4,Mus musculus,PROTEIN FAMILY,26
CHEMBL2111374,GABA A receptor alpha-5/beta-3/gamma-2,Rattus norvegicus,PROTEIN COMPLEX,27
CHEMBL2111377,CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),Homo sapiens,PROTEIN COMPLEX,41
CHEMBL2111381,Protein farnesyltransferase (PFT),Plasmodium falciparum,PROTEIN COMPLEX,37
CHEMBL2111382,Ca2+/calmodulin-dependent protein kinase II (CaM kinase II),Rattus norvegicus,PROTEIN FAMILY,2
CHEMBL2111383,Serotonin receptor 2a and 2c (5HT2A and 5HT2C),Rattus norvegicus,SELECTIVITY GROUP,10
CHEMBL2111384,Nicotinic acetylcholine receptor alpha3/betaX,Homo sapiens,PROTEIN COMPLEX GROUP,33
CHEMBL2111385,Cannabinoid receptor,Rattus norvegicus,PROTEIN FAMILY,59
CHEMBL2111386,Adenosine receptor,Rattus norvegicus,PROTEIN FAMILY,24
CHEMBL2111387,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),Homo sapiens,PROTEIN COMPLEX,35
CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,146
CHEMBL2111390,Beta-secretase (BACE),Homo sapiens,PROTEIN FAMILY,35
CHEMBL2111391,Fibroblast growth factor receptor,Mus musculus,PROTEIN FAMILY,37
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,Homo sapiens,PROTEIN COMPLEX,6
CHEMBL2111393,Farnesyltransferase,Saccharomyces cerevisiae S288c,PROTEIN COMPLEX,57
CHEMBL2111394,RXR alpha/PPAR gamma,Homo sapiens,PROTEIN COMPLEX,30
CHEMBL2111395,Beta-adrenergic receptor,Mus musculus,PROTEIN FAMILY,3
CHEMBL2111398,Serotonin receptor 2a and 2b (5HT2A and 5HT2B),Rattus norvegicus,SELECTIVITY GROUP,3
CHEMBL2111399,Monoamine oxidase,Bos taurus,PROTEIN FAMILY,8
